Product_Category,Product_Sub_Category,Price,Discount
Home & Garden,Storage,208.49,0.0
Books,Magazines,11.54,0.0
Clothing,Mens Shirts,247.54,0.0
Clothing,Mens Shirts,179.63,0.0
Beauty,Makeup,34.7,0.0
Home & Garden,Furniture,609.24,0.0
Sports,Water Sports,145.41,0.0
Home & Garden,Kitchen Appliances,674.13,0.0
Sports,Winter Sports,231.16,0.0
Books,Comics,50.02,0.5
Beauty,Fragrances,82.09,0.0
Beauty,Personal Care,51.91,0.15
Sports,Fitness Equipment,141.25,0.0
Sports,Water Sports,321.69,0.0
Home & Garden,Storage,125.66,0.0
Clothing,Womens Dresses,76.23,0.0
Books,Magazines,26.4,0.1
Clothing,Mens Shirts,269.82,0.0
Home & Garden,Bedding,443.33,0.0
Electronics,Smartphones,708.35,0.42
Home & Garden,Bedding,54.2,0.0
Sports,Outdoor Gear,71.16,0.0
Clothing,Mens Shirts,136.44,0.47
Books,Magazines,33.2,0.0
Clothing,Sportswear,299.13,0.0
Sports,Team Sports,289.37,0.0
Home & Garden,Furniture,733.78,0.0
Beauty,Makeup,38.28,0.0
Sports,Cycling,293.59,0.0
Electronics,Laptops,259.53,0.13
Electronics,Headphones,943.59,0.0
Sports,Winter Sports,299.73,0.0
Home & Garden,Furniture,543.2,0.0
Sports,Fitness Equipment,221.34,0.08
Books,Non-Fiction,57.27,0.0
Sports,Fitness Equipment,293.75,0.0
Beauty,Makeup,76.64,0.0
Beauty,Beauty Tools,66.79,0.0
Electronics,Tablets,1911.4,0.0
Electronics,Headphones,1126.07,0.0
Clothing,Accessories,23.88,0.0
Electronics,Smart Watches,216.74,0.13
Home & Garden,Home Decor,453.83,0.18
Beauty,Skincare,86.08,0.0
Home & Garden,Storage,418.65,0.0
Sports,Team Sports,59.33,0.0
Beauty,Skincare,64.23,0.0
Clothing,Sportswear,57.43,0.0
Beauty,Makeup,91.1,0.0
Clothing,Sportswear,250.87,0.0
Beauty,Hair Care,142.62,0.14
Electronics,Tablets,1915.83,0.0
Beauty,Fragrances,145.22,0.0
Beauty,Skincare,90.05,0.0
Clothing,Shoes,34.51,0.37
Beauty,Fragrances,40.5,0.09
Clothing,Jeans,226.58,0.09
Clothing,Shoes,61.89,0.19
Home & Garden,Home Decor,670.24,0.0
Clothing,Jeans,44.43,0.0
Sports,Outdoor Gear,203.99,0.0
Home & Garden,Kitchen Appliances,491.98,0.0
Home & Garden,Furniture,236.76,0.0
Clothing,Mens Shirts,247.1,0.0
Books,Comics,26.08,0.0
Sports,Winter Sports,138.94,0.0
Clothing,Womens Dresses,51.04,0.0
Clothing,Accessories,153.92,0.0
Electronics,Smart Watches,223.41,0.07
Electronics,Laptops,1375.31,0.0
Home & Garden,Bedding,544.08,0.39
Beauty,Skincare,126.47,0.0
Clothing,Jeans,279.77,0.42
Clothing,Accessories,129.85,0.13
Clothing,Womens Dresses,115.39,0.06
Beauty,Makeup,60.0,0.08
Clothing,Accessories,111.61,0.12
Beauty,Hair Care,135.71,0.2
Sports,Team Sports,379.56,0.35
Electronics,Tablets,1060.74,0.0
Home & Garden,Furniture,752.01,0.0
Electronics,Headphones,1494.76,0.07
Home & Garden,Kitchen Appliances,719.46,0.0
Sports,Outdoor Gear,464.0,0.0
Electronics,Laptops,1604.97,0.06
Home & Garden,Kitchen Appliances,187.15,0.0
Books,Comics,36.23,0.0
Beauty,Personal Care,15.64,0.48
Beauty,Skincare,31.09,0.0
Books,Comics,38.24,0.0
Home & Garden,Bedding,29.48,0.42
Beauty,Skincare,12.93,0.0
Clothing,Womens Dresses,49.8,0.07
Books,Magazines,9.14,0.0
Electronics,Gaming Consoles,597.17,0.14
Books,Children Books,51.75,0.0
Books,Comics,55.75,0.0
Home & Garden,Home Decor,690.9,0.27
Beauty,Personal Care,76.9,0.11
Electronics,Tablets,247.19,0.0
Beauty,Hair Care,34.26,0.0
Electronics,Smartphones,1191.9,0.17
Sports,Winter Sports,493.77,0.0
Beauty,Personal Care,146.64,0.0
Beauty,Fragrances,46.03,0.19
Books,Comics,18.75,0.0
Electronics,Laptops,1738.01,0.0
Clothing,Accessories,147.9,0.0
Beauty,Beauty Tools,47.1,0.0
Clothing,Mens Shirts,85.32,0.0
Beauty,Fragrances,122.96,0.0
Home & Garden,Gardening Tools,630.69,0.0
Clothing,Accessories,129.51,0.0
Books,Children Books,52.84,0.18
Books,Educational,25.43,0.16
Books,Children Books,38.2,0.0
Home & Garden,Bedding,150.9,0.0
Books,Non-Fiction,26.98,0.0
Sports,Fitness Equipment,459.05,0.29
Sports,Fitness Equipment,314.07,0.0
Sports,Winter Sports,359.18,0.0
Books,Magazines,37.38,0.0
Sports,Team Sports,418.42,0.0
Sports,Winter Sports,331.82,0.0
Home & Garden,Storage,442.68,0.0
Clothing,Sportswear,242.29,0.09
Books,Magazines,55.12,0.16
Electronics,Smartphones,800.86,0.0
Books,Children Books,58.57,0.0
Sports,Water Sports,417.61,0.0
Books,Educational,35.85,0.26
Electronics,Smartphones,1811.38,0.0
Clothing,Shoes,231.73,0.08
Books,Fiction,38.69,0.0
Beauty,Hair Care,143.1,0.0
Electronics,Gaming Consoles,506.35,0.0
Home & Garden,Storage,795.96,0.28
Electronics,Laptops,1407.15,0.46
Home & Garden,Gardening Tools,647.97,0.0
Beauty,Makeup,24.33,0.33
Clothing,Shoes,259.81,0.36
Sports,Cycling,355.48,0.09
Electronics,Smart Watches,377.83,0.0
Electronics,Smart Watches,1882.16,0.0
Beauty,Fragrances,20.65,0.0
Electronics,Smart Watches,764.77,0.0
Books,Comics,15.07,0.0
Electronics,Smart Watches,1867.66,0.0
Sports,Cycling,300.09,0.0
Beauty,Fragrances,141.16,0.3
Books,Children Books,38.23,0.0
Clothing,Accessories,232.93,0.0
Books,Fiction,17.08,0.14
Clothing,Jeans,48.23,0.0
Clothing,Sportswear,112.58,0.11
Beauty,Hair Care,89.88,0.13
Sports,Fitness Equipment,341.6,0.38
Home & Garden,Home Decor,424.21,0.0
Home & Garden,Home Decor,553.77,0.0
Books,Educational,36.95,0.0
Clothing,Shoes,248.78,0.41
Sports,Cycling,304.3,0.0
Electronics,Gaming Consoles,794.78,0.0
Home & Garden,Gardening Tools,482.08,0.0
Electronics,Smartphones,635.13,0.17
Clothing,Mens Shirts,116.33,0.0
Books,Children Books,19.11,0.0
Home & Garden,Kitchen Appliances,437.73,0.0
Electronics,Gaming Consoles,669.29,0.0
Sports,Team Sports,393.94,0.0
Electronics,Laptops,354.19,0.0
Electronics,Gaming Consoles,900.29,0.17
Clothing,Shoes,160.21,0.05
Clothing,Womens Dresses,17.41,0.0
Beauty,Beauty Tools,79.45,0.0
Sports,Water Sports,342.39,0.36
Clothing,Accessories,114.42,0.0
Beauty,Fragrances,133.38,0.0
Electronics,Tablets,605.12,0.0
Beauty,Fragrances,37.81,0.41
Beauty,Fragrances,60.74,0.0
Sports,Cycling,30.73,0.19
Clothing,Mens Shirts,25.06,0.0
Books,Educational,59.88,0.0
Books,Comics,10.06,0.49
Beauty,Beauty Tools,21.23,0.0
Electronics,Smartphones,1871.89,0.0
Home & Garden,Gardening Tools,279.75,0.15
Clothing,Accessories,137.64,0.0
Clothing,Womens Dresses,296.93,0.0
Electronics,Laptops,1218.64,0.0
Sports,Team Sports,32.88,0.0
Books,Educational,57.13,0.15
Home & Garden,Storage,199.9,0.27
Home & Garden,Storage,773.2,0.0
Sports,Winter Sports,239.41,0.0
Home & Garden,Bedding,77.91,0.0
Sports,Winter Sports,282.12,0.45
Home & Garden,Gardening Tools,263.41,0.0
Home & Garden,Bedding,490.72,0.0
Home & Garden,Home Decor,70.92,0.0
Clothing,Mens Shirts,257.14,0.0
Home & Garden,Bedding,272.1,0.0
Clothing,Sportswear,144.44,0.0
Home & Garden,Kitchen Appliances,319.22,0.0
Books,Comics,42.7,0.06
Books,Educational,56.03,0.0
Home & Garden,Gardening Tools,473.75,0.0
Home & Garden,Storage,535.84,0.0
Clothing,Sportswear,36.89,0.36
Beauty,Hair Care,71.25,0.14
Books,Magazines,42.67,0.11
Electronics,Tablets,1853.08,0.0
Electronics,Tablets,886.44,0.0
Beauty,Beauty Tools,122.54,0.0
Beauty,Fragrances,108.32,0.0
Home & Garden,Gardening Tools,606.85,0.0
Electronics,Smartphones,768.63,0.0
Electronics,Smart Watches,1535.16,0.0
Clothing,Accessories,192.77,0.0
Clothing,Mens Shirts,259.74,0.16
Sports,Outdoor Gear,254.01,0.29
Home & Garden,Kitchen Appliances,242.85,0.36
Home & Garden,Gardening Tools,519.88,0.0
Sports,Winter Sports,488.41,0.06
Clothing,Accessories,109.85,0.33
Clothing,Accessories,152.9,0.0
Clothing,Womens Dresses,145.9,0.0
Electronics,Gaming Consoles,1820.97,0.15
Clothing,Sportswear,47.64,0.0
Home & Garden,Storage,481.54,0.18
Books,Magazines,8.08,0.0
Books,Fiction,14.41,0.19
Electronics,Headphones,302.55,0.0
Sports,Outdoor Gear,158.22,0.0
Beauty,Beauty Tools,113.44,0.0
Books,Children Books,33.44,0.0
Clothing,Jeans,195.45,0.0
Home & Garden,Gardening Tools,645.87,0.13
Home & Garden,Home Decor,158.18,0.1
Beauty,Hair Care,48.47,0.0
Clothing,Jeans,224.77,0.0
Home & Garden,Gardening Tools,33.24,0.0
Electronics,Smartphones,1495.19,0.0
Sports,Team Sports,391.52,0.42
Clothing,Accessories,82.43,0.0
Electronics,Tablets,392.99,0.0
Beauty,Hair Care,115.18,0.1
Clothing,Jeans,32.54,0.0
Beauty,Beauty Tools,94.71,0.0
Home & Garden,Home Decor,568.35,0.17
Home & Garden,Bedding,764.06,0.0
Electronics,Smartphones,1135.69,0.0
Books,Comics,11.33,0.0
Clothing,Mens Shirts,100.38,0.0
Books,Non-Fiction,10.78,0.0
Sports,Cycling,424.33,0.0
Home & Garden,Home Decor,599.8,0.0
Home & Garden,Kitchen Appliances,124.97,0.0
Electronics,Headphones,796.53,0.0
Books,Fiction,42.23,0.0
Beauty,Personal Care,93.1,0.33
Sports,Team Sports,103.25,0.0
Clothing,Shoes,251.32,0.0
Electronics,Gaming Consoles,1640.85,0.0
Clothing,Womens Dresses,26.42,0.0
Home & Garden,Bedding,236.39,0.0
Books,Educational,20.44,0.0
Home & Garden,Kitchen Appliances,589.02,0.0
Sports,Outdoor Gear,482.6,0.0
Books,Fiction,31.97,0.16
Sports,Fitness Equipment,55.05,0.17
Electronics,Laptops,248.69,0.0
Sports,Water Sports,467.49,0.0
Books,Magazines,31.95,0.0
Books,Children Books,42.95,0.08
Clothing,Sportswear,285.92,0.25
Home & Garden,Gardening Tools,101.09,0.0
Electronics,Gaming Consoles,1629.35,0.0
Books,Educational,8.24,0.13
Sports,Outdoor Gear,267.53,0.0
Sports,Fitness Equipment,98.38,0.15
Sports,Cycling,120.79,0.0
Clothing,Womens Dresses,79.69,0.0
Clothing,Sportswear,108.88,0.0
Beauty,Fragrances,16.88,0.05
Clothing,Womens Dresses,246.02,0.14
Books,Fiction,54.55,0.0
Home & Garden,Gardening Tools,506.45,0.0
Sports,Team Sports,390.63,0.0
Books,Non-Fiction,54.58,0.34
Sports,Fitness Equipment,41.35,0.0
Electronics,Headphones,822.74,0.0
Books,Comics,29.93,0.0
Home & Garden,Home Decor,783.25,0.0
Home & Garden,Home Decor,666.21,0.0
Electronics,Headphones,1271.21,0.0
Books,Educational,16.78,0.0
Books,Children Books,49.98,0.0
Clothing,Womens Dresses,33.58,0.0
Electronics,Tablets,1355.07,0.0
Home & Garden,Storage,22.43,0.0
Clothing,Accessories,26.43,0.08
Electronics,Smart Watches,1781.24,0.0
Home & Garden,Gardening Tools,551.57,0.0
Home & Garden,Gardening Tools,463.28,0.0
Home & Garden,Kitchen Appliances,202.0,0.0
Sports,Water Sports,277.36,0.0
Sports,Water Sports,470.76,0.13
Clothing,Womens Dresses,250.54,0.0
Home & Garden,Gardening Tools,456.52,0.0
Sports,Water Sports,471.92,0.0
Electronics,Smartphones,1996.92,0.13
Home & Garden,Bedding,578.47,0.0
Clothing,Shoes,215.25,0.0
Clothing,Mens Shirts,27.71,0.0
Home & Garden,Storage,540.73,0.0
Sports,Winter Sports,428.16,0.0
Books,Magazines,53.71,0.0
Electronics,Headphones,1191.7,0.0
Beauty,Beauty Tools,43.43,0.0
Books,Comics,36.59,0.0
Electronics,Smart Watches,767.3,0.0
Books,Magazines,16.26,0.27
Beauty,Skincare,52.32,0.28
Sports,Outdoor Gear,203.72,0.0
Clothing,Accessories,270.43,0.0
Electronics,Gaming Consoles,1619.57,0.0
Clothing,Womens Dresses,70.29,0.0
Books,Educational,19.77,0.0
Beauty,Hair Care,17.47,0.0
Electronics,Gaming Consoles,1378.18,0.0
Clothing,Shoes,119.44,0.0
Sports,Team Sports,403.0,0.0
Electronics,Tablets,1675.62,0.0
Electronics,Headphones,1383.54,0.0
Sports,Outdoor Gear,372.81,0.0
Home & Garden,Furniture,348.47,0.0
Home & Garden,Storage,622.03,0.28
Home & Garden,Gardening Tools,139.3,0.0
Electronics,Laptops,1095.39,0.0
Clothing,Mens Shirts,54.52,0.0
Home & Garden,Gardening Tools,168.52,0.0
Electronics,Gaming Consoles,198.39,0.16
Home & Garden,Gardening Tools,379.22,0.0
Electronics,Gaming Consoles,1744.74,0.0
Beauty,Hair Care,131.18,0.0
Electronics,Laptops,542.69,0.0
Sports,Team Sports,223.44,0.0
Sports,Team Sports,334.55,0.0
Books,Educational,56.46,0.0
Electronics,Smart Watches,260.39,0.0
Clothing,Shoes,223.11,0.0
Beauty,Fragrances,145.52,0.31
Sports,Cycling,228.08,0.0
Sports,Outdoor Gear,397.06,0.0
Books,Comics,29.36,0.0
Clothing,Mens Shirts,23.74,0.0
Books,Educational,58.16,0.44
Home & Garden,Storage,382.18,0.0
Electronics,Laptops,1564.36,0.0
Home & Garden,Furniture,350.22,0.0
Home & Garden,Kitchen Appliances,485.54,0.08
Beauty,Hair Care,99.25,0.45
Home & Garden,Storage,333.51,0.0
Electronics,Smart Watches,1977.11,0.0
Home & Garden,Home Decor,387.35,0.18
Sports,Water Sports,280.65,0.0
Clothing,Mens Shirts,60.99,0.0
Sports,Team Sports,92.71,0.0
Electronics,Gaming Consoles,225.26,0.0
Electronics,Gaming Consoles,562.26,0.0
Sports,Outdoor Gear,187.51,0.15
Books,Fiction,53.92,0.0
Books,Fiction,39.52,0.18
Sports,Team Sports,205.49,0.0
Electronics,Tablets,110.56,0.44
Sports,Winter Sports,423.48,0.0
Clothing,Shoes,17.89,0.0
Beauty,Fragrances,48.76,0.0
Beauty,Personal Care,60.71,0.0
Electronics,Headphones,129.69,0.0
Home & Garden,Storage,558.26,0.0
Beauty,Skincare,137.01,0.25
Clothing,Womens Dresses,81.78,0.0
Books,Educational,27.71,0.0
Electronics,Smartphones,755.74,0.0
Books,Non-Fiction,35.38,0.28
Electronics,Smart Watches,1453.92,0.0
Beauty,Hair Care,24.93,0.0
Beauty,Beauty Tools,141.92,0.46
Beauty,Fragrances,30.57,0.0
Home & Garden,Kitchen Appliances,425.73,0.0
Beauty,Fragrances,142.87,0.0
Beauty,Hair Care,60.46,0.0
Sports,Outdoor Gear,362.15,0.14
Sports,Fitness Equipment,52.08,0.17
Books,Non-Fiction,24.0,0.4
Electronics,Smartphones,493.88,0.12
Home & Garden,Storage,571.53,0.0
Beauty,Hair Care,84.99,0.0
Home & Garden,Furniture,622.41,0.0
Electronics,Gaming Consoles,1195.79,0.0
Books,Educational,36.28,0.0
Sports,Water Sports,458.32,0.0
Books,Children Books,54.57,0.17
Electronics,Smartphones,1444.88,0.0
Beauty,Makeup,134.72,0.0
Electronics,Smart Watches,559.04,0.0
Clothing,Mens Shirts,99.94,0.07
Clothing,Accessories,295.14,0.0
Clothing,Shoes,249.1,0.0
Home & Garden,Bedding,604.39,0.0
Books,Educational,53.66,0.0
Books,Comics,34.26,0.0
Beauty,Makeup,65.61,0.0
Electronics,Smartphones,1709.74,0.07
Books,Non-Fiction,39.75,0.0
Sports,Team Sports,325.81,0.0
Sports,Winter Sports,108.85,0.0
Books,Educational,40.17,0.0
Clothing,Jeans,146.39,0.0
Books,Fiction,29.57,0.0
Home & Garden,Kitchen Appliances,662.57,0.0
Books,Children Books,57.57,0.0
Clothing,Accessories,31.36,0.0
Books,Fiction,36.3,0.11
Books,Non-Fiction,29.46,0.0
Clothing,Accessories,274.3,0.47
Home & Garden,Gardening Tools,500.36,0.0
Books,Children Books,23.53,0.16
Clothing,Sportswear,295.32,0.09
Beauty,Beauty Tools,37.82,0.0
Electronics,Tablets,994.16,0.0
Sports,Winter Sports,115.3,0.0
Sports,Cycling,133.08,0.0
Sports,Fitness Equipment,280.06,0.48
Books,Children Books,53.35,0.0
Books,Magazines,59.97,0.0
Electronics,Smart Watches,653.78,0.15
Home & Garden,Gardening Tools,653.61,0.0
Beauty,Fragrances,51.49,0.07
Books,Magazines,23.7,0.0
Beauty,Fragrances,124.5,0.0
Home & Garden,Furniture,102.21,0.0
Sports,Outdoor Gear,447.08,0.0
Electronics,Smart Watches,1761.05,0.0
Electronics,Gaming Consoles,1166.91,0.39
Sports,Team Sports,446.14,0.0
Beauty,Hair Care,98.8,0.0
Electronics,Smart Watches,616.48,0.0
Clothing,Accessories,66.85,0.13
Clothing,Womens Dresses,242.74,0.0
Electronics,Tablets,1817.39,0.0
Books,Comics,10.67,0.0
Home & Garden,Gardening Tools,453.24,0.0
Beauty,Hair Care,16.77,0.48
Books,Comics,16.68,0.0
Electronics,Headphones,1656.6,0.0
Clothing,Accessories,202.73,0.0
Clothing,Jeans,299.66,0.0
Beauty,Skincare,129.8,0.11
Sports,Winter Sports,75.82,0.0
Books,Educational,12.55,0.11
Electronics,Laptops,234.2,0.0
Beauty,Makeup,65.37,0.0
Electronics,Laptops,636.28,0.0
Beauty,Hair Care,90.77,0.0
Sports,Outdoor Gear,148.41,0.0
Sports,Fitness Equipment,247.79,0.45
Books,Magazines,38.14,0.0
Beauty,Makeup,108.69,0.0
Home & Garden,Home Decor,169.58,0.13
Clothing,Womens Dresses,118.07,0.09
Clothing,Shoes,30.7,0.0
Electronics,Smart Watches,483.05,0.0
Electronics,Laptops,844.71,0.37
Home & Garden,Storage,287.02,0.0
Sports,Team Sports,156.8,0.0
Electronics,Smartphones,461.46,0.0
Home & Garden,Kitchen Appliances,643.89,0.0
Beauty,Makeup,105.56,0.0
Sports,Fitness Equipment,339.6,0.18
Electronics,Tablets,461.76,0.0
Home & Garden,Furniture,480.14,0.0
Clothing,Accessories,194.58,0.0
Sports,Water Sports,62.66,0.0
Electronics,Gaming Consoles,684.39,0.0
Clothing,Accessories,195.23,0.0
Home & Garden,Gardening Tools,261.39,0.2
Books,Comics,11.75,0.0
Sports,Team Sports,274.26,0.14
Books,Comics,24.91,0.0
Clothing,Jeans,73.68,0.06
Electronics,Gaming Consoles,319.58,0.0
Electronics,Laptops,732.96,0.0
Beauty,Fragrances,81.09,0.0
Books,Educational,58.6,0.08
Electronics,Headphones,630.42,0.0
Books,Educational,26.57,0.0
Books,Educational,57.66,0.0
Sports,Fitness Equipment,482.26,0.16
Electronics,Tablets,1264.35,0.0
Clothing,Womens Dresses,35.15,0.0
Electronics,Gaming Consoles,1524.8,0.0
Sports,Cycling,291.45,0.0
Home & Garden,Kitchen Appliances,661.67,0.0
Sports,Water Sports,142.63,0.0
Books,Fiction,45.03,0.44
Electronics,Smart Watches,1036.79,0.0
Sports,Cycling,106.55,0.0
Electronics,Smart Watches,93.3,0.1
Clothing,Sportswear,153.53,0.42
Electronics,Gaming Consoles,1278.54,0.0
Sports,Outdoor Gear,423.57,0.0
Books,Children Books,29.29,0.0
Home & Garden,Bedding,412.0,0.11
Clothing,Jeans,298.45,0.0
Books,Fiction,29.21,0.13
Books,Non-Fiction,57.68,0.0
Sports,Water Sports,208.61,0.0
Beauty,Fragrances,128.89,0.0
Books,Children Books,27.62,0.0
Electronics,Gaming Consoles,112.39,0.0
Clothing,Accessories,19.6,0.0
Home & Garden,Gardening Tools,526.47,0.0
Sports,Fitness Equipment,43.65,0.0
Sports,Winter Sports,494.99,0.11
Clothing,Accessories,186.55,0.29
Sports,Winter Sports,264.78,0.0
Electronics,Smartphones,1848.75,0.0
Beauty,Personal Care,93.64,0.49
Beauty,Hair Care,24.64,0.11
Books,Educational,13.7,0.0
Home & Garden,Bedding,382.96,0.37
Electronics,Gaming Consoles,1691.77,0.0
Home & Garden,Furniture,124.86,0.0
Electronics,Headphones,1364.55,0.0
Clothing,Jeans,208.53,0.0
Books,Magazines,52.56,0.1
Home & Garden,Gardening Tools,299.69,0.0
Books,Magazines,28.59,0.0
Electronics,Smartphones,404.47,0.0
Sports,Team Sports,226.08,0.06
Books,Comics,54.53,0.0
Electronics,Smartphones,1178.16,0.16
Sports,Water Sports,161.45,0.23
Sports,Fitness Equipment,312.08,0.0
Electronics,Headphones,1791.53,0.0
Books,Children Books,48.1,0.0
Beauty,Beauty Tools,69.08,0.0
Sports,Team Sports,292.26,0.0
Books,Fiction,13.89,0.15
Sports,Cycling,373.86,0.0
Beauty,Skincare,100.95,0.0
Home & Garden,Bedding,461.02,0.14
Home & Garden,Storage,44.16,0.36
Sports,Team Sports,317.23,0.13
Clothing,Accessories,130.22,0.0
Books,Comics,27.17,0.0
Beauty,Makeup,62.73,0.0
Books,Non-Fiction,42.96,0.0
Beauty,Skincare,57.97,0.0
Home & Garden,Bedding,229.47,0.0
Beauty,Hair Care,28.21,0.19
Clothing,Sportswear,99.16,0.49
Clothing,Shoes,49.13,0.0
Home & Garden,Kitchen Appliances,758.9,0.0
Beauty,Personal Care,28.58,0.0
Electronics,Headphones,1040.22,0.0
Beauty,Beauty Tools,136.81,0.0
Sports,Fitness Equipment,63.92,0.07
Electronics,Smartphones,1743.77,0.0
Beauty,Personal Care,49.33,0.0
Books,Educational,45.16,0.0
Electronics,Gaming Consoles,907.04,0.09
Electronics,Headphones,1941.36,0.0
Books,Magazines,26.08,0.0
Books,Magazines,43.11,0.0
Books,Fiction,56.93,0.0
Sports,Team Sports,152.54,0.0
Sports,Water Sports,361.15,0.0
Sports,Water Sports,419.7,0.28
Home & Garden,Home Decor,189.72,0.0
Electronics,Gaming Consoles,73.41,0.0
Electronics,Smartphones,1697.1,0.0
Books,Non-Fiction,27.75,0.0
Beauty,Hair Care,22.52,0.0
Electronics,Tablets,1565.74,0.0
Home & Garden,Home Decor,772.29,0.0
Clothing,Womens Dresses,149.58,0.0
Sports,Winter Sports,452.51,0.18
Electronics,Headphones,1957.79,0.19
Home & Garden,Bedding,257.98,0.0
Electronics,Tablets,1407.63,0.0
Clothing,Jeans,228.29,0.0
Books,Magazines,52.1,0.17
Clothing,Sportswear,187.23,0.0
Electronics,Tablets,442.98,0.1
Clothing,Sportswear,191.05,0.0
Beauty,Fragrances,24.83,0.0
Sports,Team Sports,49.87,0.0
Sports,Fitness Equipment,232.16,0.0
Home & Garden,Gardening Tools,52.67,0.0
Electronics,Headphones,1540.53,0.0
Sports,Outdoor Gear,386.83,0.0
Clothing,Shoes,103.2,0.0
Sports,Outdoor Gear,406.98,0.0
Electronics,Smartphones,1684.32,0.15
Books,Comics,8.45,0.0
Sports,Cycling,27.48,0.0
Sports,Winter Sports,410.9,0.1
Electronics,Tablets,151.06,0.47
Books,Non-Fiction,41.73,0.0
Electronics,Laptops,733.72,0.0
Beauty,Skincare,132.37,0.0
Books,Educational,11.62,0.0
Beauty,Makeup,72.82,0.0
Clothing,Womens Dresses,157.6,0.08
Books,Non-Fiction,21.41,0.1
Books,Non-Fiction,47.77,0.0
Beauty,Fragrances,102.25,0.1
Beauty,Makeup,125.43,0.0
Sports,Fitness Equipment,384.31,0.0
Sports,Water Sports,490.99,0.13
Beauty,Beauty Tools,31.27,0.0
Books,Non-Fiction,55.49,0.16
Beauty,Makeup,25.3,0.0
Home & Garden,Home Decor,227.77,0.0
Sports,Winter Sports,58.18,0.0
Sports,Outdoor Gear,407.9,0.0
Clothing,Womens Dresses,20.15,0.0
Clothing,Mens Shirts,291.19,0.0
Sports,Cycling,89.14,0.0
Clothing,Accessories,141.24,0.0
Electronics,Smart Watches,1476.6,0.17
Clothing,Womens Dresses,47.16,0.0
Clothing,Jeans,194.95,0.0
Books,Fiction,37.92,0.0
Clothing,Jeans,189.47,0.0
Beauty,Hair Care,71.26,0.13
Books,Fiction,28.55,0.0
Beauty,Personal Care,97.16,0.15
Beauty,Beauty Tools,45.71,0.0
Clothing,Womens Dresses,164.72,0.0
Sports,Winter Sports,83.45,0.25
Beauty,Makeup,142.54,0.0
Beauty,Hair Care,34.8,0.14
Beauty,Personal Care,77.91,0.19
Beauty,Beauty Tools,97.62,0.09
Clothing,Accessories,134.44,0.0
Electronics,Smart Watches,709.09,0.0
Beauty,Personal Care,115.74,0.0
Sports,Cycling,442.35,0.23
Home & Garden,Gardening Tools,269.83,0.0
Books,Magazines,51.02,0.19
Books,Fiction,23.14,0.39
Beauty,Makeup,68.71,0.0
Beauty,Fragrances,94.08,0.0
Clothing,Accessories,96.81,0.35
Clothing,Womens Dresses,116.32,0.0
Books,Comics,44.61,0.0
Books,Comics,43.18,0.0
Books,Magazines,28.74,0.0
Books,Fiction,12.75,0.0
Electronics,Laptops,246.91,0.0
Clothing,Sportswear,39.24,0.16
Sports,Water Sports,489.79,0.0
Beauty,Beauty Tools,72.87,0.0
Clothing,Womens Dresses,91.43,0.35
Books,Fiction,51.76,0.0
Home & Garden,Kitchen Appliances,785.29,0.0
Books,Fiction,38.62,0.0
Books,Fiction,52.79,0.0
Beauty,Personal Care,10.45,0.0
Sports,Cycling,274.25,0.18
Books,Educational,56.27,0.0
Clothing,Jeans,245.2,0.0
